lote,fecha,linea,maquina,equipo,turno,operador,unidades_producidas,unidades_defectuosas,unidades_reproceso,unidades_scrap,defecto_tipo,peso_promedio,longitud_promedio
L0001,2025-01-01,Línea 1,M04,L1-M04,Tarde,Operador C,1030,57,33,24,Peso fuera de rango,499.21,119.99
L0002,2025-01-02,Línea 2,M02,L2-M02,Tarde,Operador C,1031,33,23,10,Mancha,501.6,119.96
L0003,2025-01-03,Línea 1,M04,L1-M04,Noche,Operador C,1048,62,49,13,Mancha,501.08,121.71
L0004,2025-01-04,Línea 1,M04,L1-M04,Tarde,Operador B,967,42,33,9,Rayadura,497.94,120.52
L0005,2025-01-05,Línea 2,M02,L2-M02,Mañana,Operador E,953,38,24,14,Rayadura,499.95,120.7
L0006,2025-01-06,Línea 2,M01,L2-M01,Noche,Operador B,1002,39,30,9,Mancha,497.24,120.77
L0007,2025-01-07,Línea 2,M03,L2-M03,Mañana,Operador E,1006,47,33,14,Mancha,498.92,118.98
L0008,2025-01-08,Línea 1,M01,L1-M01,Noche,Operador A,1019,46,32,14,Peso fuera de rango,501.56,119.75
L0009,2025-01-09,Línea 1,M04,L1-M04,Mañana,Operador B,985,46,33,13,Mancha,500.03,120.38
L0010,2025-01-10,Línea 1,M03,L1-M03,Tarde,Operador C,996,38,28,10,Mancha,496.69,119.2
L0011,2025-01-11,Línea 1,M04,L1-M04,Tarde,Operador E,984,58,36,22,Rayadura,495.68,120.35
L0012,2025-01-12,Línea 2,M03,L2-M03,Tarde,Operador B,942,35,29,6,Rayadura,501.49,120.29
L0013,2025-01-13,Línea 2,M01,L2-M01,Mañana,Operador D,974,51,37,14,Rayadura,498.84,118.82
L0014,2025-01-14,Línea 1,M02,L1-M02,Tarde,Operador E,1033,51,36,15,Mancha,497.97,119.67
L0015,2025-01-15,Línea 2,M02,L2-M02,Mañana,Operador A,1042,38,25,13,Mancha,500.1,121.41
L0016,2025-01-16,Línea 2,M04,L2-M04,Mañana,Operador A,980,58,40,18,Rayadura,497.35,120.67
L0017,2025-01-17,Línea 2,M02,L2-M02,Mañana,Operador F,1015,35,20,15,Mancha,498.26,119.02
L0018,2025-01-18,Línea 2,M04,L2-M04,Mañana,Operador F,1063,50,33,17,Peso fuera de rango,502.17,120.34
L0019,2025-01-19,Línea 2,M03,L2-M03,Tarde,Operador B,951,42,27,15,Mancha,498.44,121.17
L0020,2025-01-20,Línea 2,M04,L2-M04,Mañana,Operador B,964,44,37,7,Mancha,499.63,120.52
L0021,2025-01-21,Línea 2,M01,L2-M01,Mañana,Operador D,966,28,18,10,Mancha,498.19,119.74
L0022,2025-01-22,Línea 1,M02,L1-M02,Tarde,Operador D,1053,38,32,6,Rayadura,500.44,119.13
L0023,2025-01-23,Línea 2,M01,L2-M01,Noche,Operador C,1100,61,40,21,Mancha,502.41,119.42
L0024,2025-01-24,Línea 1,M04,L1-M04,Tarde,Operador B,993,57,39,18,Largo fuera de rango,496.33,121.7
L0025,2025-01-25,Línea 1,M01,L1-M01,Noche,Operador E,1073,51,35,16,Mancha,504.32,119.21
L0026,2025-01-26,Línea 2,M01,L2-M01,Noche,Operador F,1017,53,41,12,Mancha,498.73,120.19
L0027,2025-01-27,Línea 2,M01,L2-M01,Tarde,Operador D,1040,47,33,14,Largo fuera de rango,497.6,120.25
L0028,2025-01-28,Línea 1,M01,L1-M01,Noche,Operador B,1083,46,37,9,Rayadura,500.65,119.11
L0029,2025-01-29,Línea 1,M04,L1-M04,Mañana,Operador A,1019,47,29,18,Contaminación,498.82,120.21
L0030,2025-01-30,Línea 2,M03,L2-M03,Tarde,Operador E,995,42,31,11,Mancha,495.01,120.26
